,Brake,Steer,Throttle,distance,latitude,locX,locY,locZ,longitude
0,0.0,0.0,0.0,98.45798342278579,-0.0007783463443331584,-48.565467834472656,85.6451187133789,0.5324230194091797,-0.00043624576483889435
1,0.0,0.10000000149011612,0.75,98.45774244784285,-0.0007783463443331584,-48.565467834472656,85.6451187133789,0.4858214855194092,-0.00043624576483889435
2,0.0,0.20000000298023224,0.75,98.45760035971635,-0.0007783463443331584,-48.565467834472656,85.6451187133789,0.45611751079559326,-0.00043624576483889435
3,0.0,0.30000001192092896,0.75,98.4574543826924,-0.0007783463443331584,-48.565467834472656,85.6451187133789,0.42343607544898987,-0.00043624576483889435
4,0.0,0.4000000059604645,0.75,98.45730505042997,-0.0007783463443331584,-48.565467834472656,85.6451187133789,0.3871593773365021,-0.00043624576483889435
5,0.0,0.5,0.75,98.4570745279463,-0.0007783463443331584,-48.565467834472656,85.6451187133789,0.32326334714889526,-0.00043624576483889435
6,0.0,0.6000000238418579,0.75,98.4569420335951,-0.0007783463443331584,-48.565467834472656,85.6451187133789,0.2800164222717285,-0.00043624576483889435
7,0.0,0.6060987114906311,0.75,98.45681342051802,-0.0007783463443331584,-48.565467834472656,85.6451187133789,0.23039859533309937,-0.00043624576483889435
8,0.0,0.6068688631057739,0.75,98.45670395073374,-0.0007783463443331584,-48.565467834472656,85.6451187133789,0.17755965888500214,-0.00043624576483889435
9,0.0,0.607638955116272,0.75,98.45662165001154,-0.0007783463443331584,-48.565467834472656,85.6451187133789,0.12377933412790298,-0.00043624576483889435
10,0.0,0.6084091067314148,0.75,98.45656956528231,-0.0007783463443331584,-48.565467834472656,85.6451187133789,0.0711698904633522,-0.00043624576483889435
11,0.0,0.6084091067314148,0.75,98.4565486292868,-0.0007783463443331584,-48.565467834472656,85.6451187133789,0.03070148453116417,-0.00043624576483889435
12,0.0,0.6084091067314148,0.75,98.45654384419424,-0.0007783463443331584,-48.565467834472656,85.6451187133789,-0.0005777358892373741,-0.00043624576483889435
13,0.0,0.6084091067314148,0.75,98.45654630074473,-0.0007783463443331584,-48.565467834472656,85.6451187133789,-0.02200138010084629,-0.00043624576483889435
